id,order_id,customer_id,amount,payment_date,payment_method,status
1,1,3855,576.72,5/26/2024 18:13,paypal,completed
2,2,3654,1488.1,11/20/2024 0:24,bank_transfer,pending
3,4,140,2958.96,2/24/2025 13:09,paypal,pending
4,5,4476,6025.56,7/29/2024 2:47,bank_transfer,completed
5,6,646,6783.29,3/2/2025 7:44,credit_card,completed
6,8,696,3445.82,6/10/2024 3:16,credit_card,pending
7,9,239,2801.88,5/23/2024 13:28,credit_card,completed
8,10,3106,2904.66,6/28/2024 17:01,credit_card,pending
9,11,4088,4960.75,12/25/2024 18:27,credit_card,completed
10,12,2672,2516.79,2/13/2025 23:15,paypal,completed
11,13,3568,1926.56,9/20/2024 20:37,paypal,completed
12,16,3639,799.02,9/8/2024 9:22,paypal,completed
13,17,1491,7802.34,1/18/2025 8:58,bank_transfer,pending
14,18,280,3287.52,5/30/2024 20:30,credit_card,completed
15,19,238,5933.76,8/31/2024 4:52,paypal,completed
16,20,1090,237.42,10/21/2024 11:26,credit_card,completed
17,21,605,906.18,12/16/2024 0:32,bank_transfer,completed
18,22,4470,2987.16,4/13/2025 18:50,paypal,pending
19,23,1113,4467.24,4/5/2025 3:46,paypal,completed
20,24,3656,7760.87,4/16/2025 1:11,credit_card,pending
21,25,430,9075.07,8/25/2024 6:00,bank_transfer,completed
22,26,4970,2654.76,8/13/2024 8:27,bank_transfer,completed
23,28,3000,3277.01,6/27/2024 22:14,credit_card,completed
24,29,164,5237.12,6/3/2024 19:11,bank_transfer,completed
25,30,3606,87.36,4/24/2025 22:15,paypal,completed
26,32,2590,939.86,2/22/2025 10:04,paypal,completed
27,33,1367,5938.74,5/7/2024 17:32,paypal,completed
28,34,1037,7239.77,9/10/2024 18:04,credit_card,pending
29,35,3750,7440.49,8/17/2024 7:05,bank_transfer,completed
30,36,4502,4123.81,1/4/2025 1:04,credit_card,completed
31,37,2532,7297.69,8/31/2024 7:58,credit_card,completed
32,39,2878,8508.08,11/25/2024 3:50,credit_card,completed
