id,order_id,shipping_date,tracking_number,carrier,status
1,12,2/15/2025 22:17,TRK-85694554-hRDd,FedEx,delivered
2,13,9/22/2024 20:32,TRK-49382436-rboo,USPS,delivered
3,16,9/9/2024 9:03,TRK-36283004-CPra,USPS,in_transit
4,20,10/23/2024 10:56,TRK-57562111-mais,UPS,in_transit
5,21,12/18/2024 0:29,TRK-88889834-PEXW,FedEx,delivered
6,25,8/27/2024 5:07,TRK-52120902-LhpH,DHL,delivered
7,26,8/16/2024 7:28,TRK-25305404-bzLO,USPS,delivered
8,28,6/28/2024 21:19,TRK-99584126-hrTJ,FedEx,delivered
9,29,6/5/2024 18:42,TRK-58906291-kdAr,USPS,delivered
10,30,4/27/2025 21:18,TRK-31571250-PdnD,FedEx,in_transit
11,33,5/9/2024 17:20,TRK-17551830-ekMR,FedEx,in_transit
12,35,8/20/2024 6:30,TRK-29611512-gofJ,USPS,delivered
13,36,1/7/2025 0:24,TRK-36458496-nIdd,UPS,delivered
14,37,9/1/2024 7:52,TRK-70329592-QxoR,UPS,in_transit
15,39,11/28/2024 3:05,TRK-67796866-QceR,DHL,in_transit
16,40,7/23/2024 10:35,TRK-00974786-cFJZ,UPS,delivered
17,41,6/24/2024 11:00,TRK-52306023-kzyd,UPS,in_transit
18,42,12/20/2024 10:07,TRK-98194820-JMxB,DHL,delivered
19,45,9/12/2024 13:49,TRK-84550242-dgYf,USPS,in_transit
20,50,2/19/2025 21:17,TRK-64772243-Mduq,UPS,in_transit
21,53,11/23/2024 16:32,TRK-82754354-faOg,UPS,in_transit
22,55,3/4/2025 2:09,TRK-75302081-zgvu,DHL,in_transit
23,57,1/31/2025 11:31,TRK-27974302-CAhq,FedEx,delivered
24,59,12/18/2024 3:45,TRK-58880475-ggzb,USPS,delivered
25,61,9/28/2024 3:33,TRK-15462349-jwTJ,UPS,delivered
26,62,9/25/2024 11:47,TRK-40925075-SFGv,USPS,delivered
27,64,5/23/2024 21:56,TRK-45576865-QrfM,USPS,in_transit
28,67,9/8/2024 11:19,TRK-10404624-InTJ,UPS,delivered
29,68,6/27/2024 0:59,TRK-08177271-TShV,USPS,in_transit
